customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
CUST00021,50.0,Male,East,Graduate,Unemployed,177227.1416642738,94878.46461005088,Home,721.6862071596231,8,120,38.80457614428043,2016-12-14,1
CUST00022,44.0,Male,North,Secondary,Salaried,134507.71716457928,309893.8968943809,Home,602.1388066757712,5,183,30.883695655102706,2018-07-30,1
CUST00023,31.0,Female,South,Post-Graduate,Unemployed,177558.1193421765,220149.08457603818,Home,746.2343383425632,1,22,19.57049629836366,2026-05-16,1
CUST00024,30.0,Male,South,Post-Graduate,Salaried,135034.49287463457,123768.84446147455,Other,720.0446335549184,2,190,37.20297727226787,2022-05-15,1
CUST00025,34.0,Male,South,Post-Graduate,Salaried,50909.15775118368,181648.47249879868,Other,796.426655624667,7,176,25.40592717558794,2018-02-22,0
CUST00026,53.0,Male,West,Graduate,Salaried,80945.10318291237,77707.78047558578,Other,,0,20,31.03418333867732,2020-10-09,0
CUST00027,62.0,Female,North,Post-Graduate,Self-Employed,61813.71364870482,60564.5194546022,Other,759.3579716961931,11,197,60.971117154024014,2020-07-28,1
CUST00028,22.0,Female,East,Post-Graduate,Unemployed,219332.6798929483,279866.0972724663,Car,694.3273685603141,2,134,42.47113948715284,2026-06-20,1
CUST00029,22.0,Female,East,Secondary,Salaried,48142.797054111,182549.30321655746,Other,543.9706893059982,9,60,47.3804080311688,2020-08-28,0
CUST00030,58.0,Female,North,Post-Graduate,Self-Employed,168757.59474755297,158918.81689731352,Car,442.3058860444275,0,83,70.2029297700254,2018-03-14,1
CUST00031,61.0,Male,East,Primary,Salaried,168682.29645969198,182833.02843654566,Education,586.1578494323736,10,107,26.215796758848164,2022-03-21,1
CUST00032,39.0,Male,North,Graduate,Salaried,295898.60413686844,816731.6233289076,Other,673.3878245876602,10,32,34.64757536328679,2022-07-15,0
CUST00033,57.0,Female,North,Secondary,Salaried,77202.57145203355,251336.4209322027,Education,684.9878346086246,7,197,41.59878514177539,2025-04-05,1
CUST00034,52.0,Male,West,Secondary,Unemployed,151356.50535929078,771985.7794937955,Other,645.2735147771948,0,9,25.589928270015644,2022-12-27,1
CUST00035,22.0,Male,West,Primary,Self-Employed,388089.4378339121,70249.7342337828,Education,645.9896507261574,4,110,31.192029465923877,2019-01-14,0
CUST00036,57.0,Male,West,Graduate,Salaried,68146.49423030925,275754.94825790904,Business,639.9205199919847,3,26,8.150328234668917,2019-03-21,1
CUST00037,30.0,Male,South,Secondary,Salaried,39299.84490769901,249708.10310800606,Education,732.4973706990686,6,121,15.073793352665726,2025-09-09,1
CUST00038,43.0,Other,North,Graduate,Salaried,31952.12537988585,216973.47364325923,Car,535.0968241373542,4,104,62.559671789102126,2021-04-12,0
CUST00039,49.0,Male,East,Primary,Salaried,151391.9150518416,108397.51946376983,Home,671.4631886027422,7,17,6.328809400911995,2016-09-27,1
CUST00040,47.0,Male,South,Secondary,Salaried,31891.980913997977,195173.20907334055,Education,,11,69,39.607699815274,2020-07-13,0
CUST00041,31.0,Male,North,Graduate,Self-Employed,78953.04346695583,113360.40143836451,Home,577.4767147954053,10,148,36.39157244279369,2022-01-02,1
CUST00042,24.0,Other,South,Graduate,Salaried,128333.53707826254,226701.83775436782,Business,744.0984451125469,0,90,54.78411899651155,2026-06-14,1
CUST00043,23.0,Male,North,Secondary,Salaried,110316.11786677326,266020.4471078735,Business,571.3389538464046,4,68,74.50512030237014,2021-03-06,1
CUST00044,58.0,Male,West,Graduate,Salaried,127422.92086175304,124028.12341249628,Car,638.838541288011,3,36,30.836993471523627,2020-10-03,0
CUST00045,52.0,Female,South,Post-Graduate,Self-Employed,112800.25892529948,286617.85178990336,Car,806.6798721503196,2,84,6.649036024292807,2019-03-20,1
CUST00046,,Female,East,Graduate,Self-Employed,212632.26303042998,172374.75603537922,Education,717.0461574465339,4,55,16.35508022622571,2026-02-20,1
CUST00047,53.0,Male,South,Secondary,Salaried,55748.74464869928,208133.8385288449,Other,613.6023749631697,9,83,14.79769227856492,2019-08-29,1
CUST00048,64.0,,East,Primary,Self-Employed,65762.35998427769,84557.18399683219,Business,620.2101553275295,2,190,33.355774725229246,2022-06-05,1
CUST00049,33.0,Male,East,Post-Graduate,Salaried,62093.98062302874,182792.56292876787,Home,551.8237681073366,7,178,6.141850969094424,2019-04-14,0
CUST00050,24.0,Male,North,Primary,Salaried,162448.30175987777,116100.07414225969,Other,754.0516193812841,2,184,42.203373607792614,2023-07-06,1
CUST00051,47.0,Male,West,Post-Graduate,Salaried,,206347.4602239993,Business,730.9081446336854,0,110,12.471255332435515,2020-04-26,1
CUST00052,35.0,Male,West,Graduate,Salaried,129409.25638320949,338941.0016634964,Education,704.9281819095825,8,67,13.155692940353767,2025-07-04,1
CUST00053,33.0,Male,West,Post-Graduate,Salaried,200806.33199335056,188105.84800122416,Business,713.746635584731,8,80,36.9439905738882,2024-08-25,0
CUST00054,,Male,West,Graduate,Unemployed,48687.396634651726,103732.68647141442,Car,588.0380312482062,5,64,12.779610265241665,2019-01-16,1
CUST00055,37.0,Female,East,Post-Graduate,Self-Employed,268427.0514803529,222622.55677011382,Home,526.167004581132,9,69,43.61252030699675,2018-09-06,1
CUST00056,29.0,Other,West,Secondary,Self-Employed,246210.7543234702,198967.02230104437,Home,694.8432340243047,0,121,9.412873752621525,2019-07-17,1
CUST00057,49.0,Female,North,Graduate,Salaried,153487.31410812883,455568.27432571666,Car,721.0846298897116,7,85,9.899450184144957,2017-08-28,0
CUST00058,28.0,Male,North,Graduate,Salaried,,1478332.7968057587,Other,778.563734650157,1,109,53.050863386050025,2024-06-15,1
CUST00059,36.0,Male,North,Graduate,Self-Employed,36535.003330823696,121450.55502262451,Car,633.9287834981257,8,132,20.328987309668342,2026-02-25,1
CUST00060,62.0,Other,South,Graduate,Salaried,72065.52965989341,239263.4709935149,Home,622.2598977135744,7,187,29.21946933268253,2021-05-25,1
CUST00061,57.0,Male,South,Post-Graduate,Salaried,635014.439245043,152689.38354127275,Education,630.8591836264435,2,189,19.98947329805721,2023-12-08,0
CUST00062,29.0,Male,South,Post-Graduate,Salaried,152190.39189364473,169418.20023893352,Other,703.659506034631,4,75,54.00660052191115,2019-07-05,1
CUST00063,31.0,Female,West,Graduate,Self-Employed,525707.7080934471,102309.92694446952,Business,627.4328573859802,8,90,49.51312514809156,2026-01-30,1
CUST00064,36.0,Female,South,Graduate,Salaried,155514.94100241238,153090.20374335564,Education,,0,158,31.52929587500346,2019-06-22,0
CUST00065,39.0,Female,South,Graduate,Salaried,224655.11576552034,165281.00232570802,Other,,8,144,69.3636279280648,2021-08-30,1
CUST00066,58.0,Male,East,Graduate,Self-Employed,149809.79574004264,152638.19511127478,Home,599.9331075813011,3,75,35.034441007182785,2018-01-07,1
CUST00067,62.0,Male,North,Secondary,Salaried,117037.60989238367,121122.3315961663,Home,761.2923188337411,3,50,21.49747483385461,2025-03-03,0
CUST00068,64.0,Other,West,Secondary,Salaried,54571.988309411965,187984.45743429806,Education,700.6471205861261,3,51,19.136420022472677,2019-04-03,0
CUST00069,56.0,Male,North,Secondary,Salaried,59390.49171054598,102566.20706000758,Other,501.3903496527748,9,83,3.7332105875348605,2019-08-19,0
CUST00070,23.0,Female,West,Secondary,Salaried,208933.50933510912,91171.96246987204,Business,608.7716642777308,11,170,44.01585421890969,2021-06-02,1
CUST00071,,Female,West,Secondary,Self-Employed,157567.5292251984,232063.9096548922,Business,488.0525201435113,8,153,28.320784133771497,2020-08-04,1
CUST00072,36.0,Female,North,Secondary,Salaried,,221654.48820757403,Car,634.2656481370559,5,146,18.012714484191854,2019-05-08,1
CUST00073,58.0,Male,North,Primary,Salaried,76822.60966893437,84643.00583710204,Education,610.1351116703571,10,134,18.502876838103436,2020-05-12,1
CUST00074,60.0,Male,West,Primary,Self-Employed,,65200.50392420772,Other,716.7883807360151,7,131,15.586011116484395,2023-03-20,1
CUST00075,57.0,Female,East,Post-Graduate,Self-Employed,51921.51595172894,98285.22378633605,Education,579.5185320835733,11,113,18.114917708663793,2023-08-25,0
CUST00076,26.0,Female,East,Graduate,Self-Employed,310783.3896782646,152641.9867875778,Business,681.0188001547592,3,123,10.398292180034517,2020-05-16,0
CUST00077,36.0,Female,West,Secondary,Salaried,45785.67999730802,289866.2206380752,Other,695.5078087574747,2,105,38.05297191031599,2023-08-08,1
CUST00078,48.0,Male,North,Graduate,Salaried,110601.3852363227,150787.6321230964,Home,670.5755881782411,0,165,50.95565437277113,2018-10-23,0
CUST00079,37.0,Male,South,Secondary,,180677.03581508022,110781.98785957095,Home,741.2098865418022,9,10,32.17672881014361,2020-02-05,1
CUST00080,57.0,Female,North,Post-Graduate,Self-Employed,,175306.8444823414,Other,815.46310806735,6,130,30.198854442435547,2023-02-13,1
CUST00081,59.0,Female,West,Graduate,Salaried,110285.33985720179,153735.97198360696,Education,658.9553554159254,3,107,27.986399327032828,2021-08-24,0
CUST00082,39.0,Female,East,Primary,Salaried,,81592.80363156371,Education,682.4143613512294,7,41,5.2751817365947336,2019-09-24,1
CUST00083,56.0,Male,South,Graduate,Salaried,99458.88216297104,654685.4034895789,Home,579.5778436934312,2,146,28.05019222585956,2023-05-23,0
CUST00084,46.0,Female,North,Post-Graduate,Unemployed,551855.6753644187,82942.365079596,Home,568.4381268781406,0,41,22.83996738255909,2018-08-15,0
CUST00085,43.0,Female,South,Post-Graduate,Salaried,36273.41724457871,562375.9005377106,Business,732.7063720266183,4,12,42.81833325931109,2017-07-08,1
CUST00086,52.0,Female,South,Graduate,Salaried,186323.0208999799,250193.7058282604,Other,722.1220404882687,1,81,21.80722390576183,2019-11-14,0
CUST00087,58.0,Male,East,Graduate,Salaried,88993.5307225906,120951.14355066276,Education,567.630410066299,2,145,37.26605477501752,2020-02-10,1
CUST00088,,Male,East,Secondary,Self-Employed,156866.76491146185,283263.6621919616,Business,545.3423565992422,5,44,29.059651295362528,2022-04-30,1
CUST00089,44.0,Female,West,Post-Graduate,Self-Employed,128641.44162597062,122512.93021464962,Education,598.1010556255528,2,111,20.53721912937987,2021-06-05,1
CUST00090,37.0,Male,South,Secondary,,63583.309251494305,278616.1197494285,Home,638.6897624452712,2,96,37.61069475141626,2018-06-27,0
CUST00091,27.0,Male,North,Post-Graduate,Self-Employed,113255.07282236948,169422.89889404376,Other,617.2698873213404,11,190,58.552782253424176,2019-05-12,0
CUST00092,36.0,Other,East,Graduate,Unemployed,32378.79878675552,117075.50822948605,Car,662.8411894665802,5,22,5.301349098992494,2018-11-12,0
CUST00093,39.0,Male,West,Graduate,Salaried,141768.18467954372,228641.4129425864,Other,723.3650009898084,4,61,32.391005230396594,2016-11-22,1
CUST00094,59.0,Female,East,Graduate,Salaried,118053.72301107769,174339.49298450004,Car,686.9683503003951,9,87,52.46098688418803,2024-08-18,0
CUST00095,34.0,Male,West,Secondary,Salaried,144812.64771043698,198617.0516335736,Business,692.8896798147299,8,170,11.439489877351381,2025-01-15,1
CUST00096,45.0,Female,South,Secondary,Self-Employed,186254.81626572396,181271.9214966718,Car,453.8770884472898,0,36,8.272098476258856,2017-03-09,1
CUST00097,34.0,Other,East,Secondary,Salaried,123077.79377260023,180323.43642017088,Car,520.8877583904734,2,198,13.591462938027812,2021-08-15,1
CUST00098,22.0,Male,South,Secondary,Self-Employed,107888.50933015796,242868.8692720703,Business,586.2834553883154,2,29,41.07760349660084,2023-01-17,1
CUST00099,57.0,Male,North,Graduate,Self-Employed,58183.611109267935,592379.896081915,Other,599.4885081472395,10,190,8.918747218441398,2026-03-15,1
CUST00100,39.0,Male,North,Secondary,Salaried,64387.033059469235,303882.3656109658,Business,717.1862267951387,5,37,62.202361977078944,2021-04-02,1
CUST00101,54.0,Male,North,Primary,Unemployed,201197.19426517704,181647.37381268747,Home,579.6878854825495,7,92,4.144961636901274,2020-12-24,1
CUST00102,59.0,Female,East,Post-Graduate,Salaried,233701.8048479135,139343.38237548855,Home,703.3542129085895,2,198,39.886426735235844,2025-02-02,0
CUST00103,64.0,Female,South,Post-Graduate,Salaried,85573.73990151838,147212.52073476437,Car,587.1915408954961,2,162,12.858227927008523,2019-10-14,0
CUST00104,27.0,Male,East,Post-Graduate,Self-Employed,101478.44073511937,86849.78991232088,Business,553.9292570085747,5,108,28.882987151403295,2019-12-10,1
CUST00105,38.0,Male,West,Post-Graduate,Self-Employed,57367.39416506917,226901.61111113805,Business,557.6440272764967,7,38,19.54727587144261,2018-06-01,0
CUST00106,25.0,Male,North,Secondary,Salaried,199516.87678756748,97981.95951948437,Business,830.6613194631377,5,106,12.374689549003934,2016-12-09,0
CUST00107,35.0,Female,South,Secondary,Self-Employed,147156.2305443412,135100.3134360218,Other,585.4108025192005,11,131,15.331801911858728,2023-06-19,0
CUST00108,51.0,Male,West,Graduate,Unemployed,316389.8585941592,227561.1679743623,Education,705.2789767088273,9,73,14.671381607801152,2022-12-24,0
CUST00109,41.0,,North,Graduate,Salaried,58279.52754827719,144543.72676113283,Education,525.344125619984,2,180,41.829118965821635,2022-04-20,1
CUST00110,29.0,Female,North,Secondary,Unemployed,78684.01184488961,127243.26487679695,Education,763.5143203342988,3,44,43.70903206149548,2022-09-12,0
CUST00111,23.0,Female,South,Post-Graduate,Salaried,113421.64822544144,89434.3089849158,Other,677.923291605097,0,183,35.726668316608595,2023-11-10,1
CUST00112,58.0,Male,North,Secondary,Salaried,145494.52305266366,297349.4620995896,Business,671.9183095034309,7,84,12.297107789087027,2022-08-07,1
CUST00113,25.0,Female,West,Secondary,Salaried,86733.84168574073,107300.55137907366,Education,683.1061858514655,3,145,38.54333723480915,2021-09-02,1
CUST00114,31.0,Male,West,Graduate,Self-Employed,58467.325909860796,121426.21660106411,Business,691.919977955628,5,35,31.212605488186103,2019-10-08,1
CUST00115,41.0,Male,East,Graduate,Self-Employed,167517.737029448,66445.363675574,Car,714.7253807075904,10,120,43.58911348486975,2017-08-10,1
CUST00116,56.0,Female,West,Graduate,Salaried,152158.98657945063,161146.54963051318,Education,602.0722065432777,2,171,8.6178503500556,2017-04-17,0
CUST00117,31.0,Female,West,Primary,Salaried,56967.461882802396,137771.60499961875,Car,597.3929364982303,10,67,42.48963788133191,2018-08-27,1
CUST00118,49.0,Male,North,Post-Graduate,Self-Employed,222629.82212560452,178247.61506797097,Other,,11,52,24.468516611160457,2026-02-04,0
CUST00119,36.0,Male,West,Secondary,Salaried,199210.87689290103,90461.91039872149,Home,704.7542208334647,10,91,24.509392907780715,2018-02-06,0
CUST00120,,Male,East,Secondary,Self-Employed,106999.3349868622,234941.16422213844,Other,,5,52,22.295148455596358,2025-12-28,1
CUST00121,22.0,,West,Post-Graduate,Self-Employed,103544.7036152804,64886.49058165916,Other,,11,65,77.76135440450838,2019-11-23,1
CUST00122,43.0,Male,West,Post-Graduate,Salaried,137645.20326997715,155423.86087433985,Other,699.4269426161534,10,144,6.803400454621341,2024-08-09,1
CUST00123,48.0,Male,South,Post-Graduate,Unemployed,58863.59857842023,172429.56988693966,Education,632.6413390867178,8,82,18.365117736418256,2020-03-01,1
CUST00124,50.0,Male,North,Post-Graduate,Salaried,100510.64160558885,167524.85433903115,Car,510.22560241753206,8,188,33.691306811165624,2017-04-17,1
CUST00125,36.0,Female,North,Graduate,Unemployed,,176112.35228017299,Education,609.717764371687,9,22,20.535891679991966,2017-09-09,1
CUST00126,31.0,Female,South,Graduate,Self-Employed,167020.75870586344,241430.2383263498,Home,789.423778704774,2,159,46.7281386660764,2021-08-16,1
CUST00127,41.0,Female,West,Primary,Self-Employed,38681.010217500734,315637.3959338867,Other,677.204772056456,2,32,5.0259966950896935,2020-09-18,1
CUST00128,43.0,Male,West,Graduate,Salaried,243300.3329041593,150571.9069098213,Business,598.8359894983926,3,84,9.366740800394279,2026-03-22,1
CUST00129,30.0,Other,North,Secondary,Self-Employed,80977.60740301754,100315.81940795522,Home,670.052126208632,11,184,4.085101683859419,2025-01-03,1
CUST00130,53.0,Female,East,Secondary,Salaried,86942.28709967503,215422.96231283684,Car,704.1315254662242,6,20,37.58968404899572,2018-05-15,0
CUST00131,38.0,Female,South,Graduate,Salaried,67735.09105855589,141475.283744975,Home,598.8747512438694,2,81,3.6854233396468135,2022-08-04,1
CUST00132,63.0,Female,North,Graduate,Salaried,83048.219477358,306296.8031605884,Education,748.8307115297517,9,190,70.96650640246506,2020-08-06,1
CUST00133,,Female,North,Primary,Salaried,231218.58721763192,120453.2142235424,Business,689.655841693092,7,141,52.23074649468074,2025-01-23,0
CUST00134,61.0,Male,South,Secondary,Salaried,22188.175838462863,105978.82147046695,Education,562.0072981462129,10,30,5.191128724986718,2023-09-21,0
CUST00135,48.0,Male,West,Graduate,Self-Employed,212389.9459235208,174887.2702740166,Other,718.5093029233899,7,32,19.91563086530683,2017-08-19,1
CUST00136,,Female,South,Primary,Self-Employed,120911.4923400059,68172.12966574715,Other,617.2309292161843,5,109,31.98500492575564,2023-02-27,1
CUST00137,55.0,Female,East,Post-Graduate,Salaried,47848.115436371256,128834.72277989917,Home,635.6695658955516,3,81,2.8630511454772285,2024-10-27,1
CUST00138,31.0,Female,East,Graduate,Self-Employed,51782.76051016793,138009.76350816296,Other,568.7225042425512,10,168,34.61708689200421,2025-12-11,1
CUST00139,51.0,Male,South,Graduate,Salaried,269907.8318879807,181722.51511542784,Other,700.5157130151864,11,13,31.837973011659944,2018-01-03,1
CUST00140,42.0,Male,West,Graduate,Self-Employed,55976.98326114439,791199.5523819678,Car,638.0907818643662,10,179,14.945871396662232,2017-10-15,1
CUST00141,42.0,Male,West,Post-Graduate,,49414.03112129872,104846.19690111945,Car,703.9005563600488,4,55,29.453805317833353,2023-12-13,1
CUST00142,55.0,Female,South,Secondary,Salaried,195318.86856202688,290238.0842595822,Education,,11,80,48.4770083954087,2019-10-30,1
CUST00143,30.0,Female,South,Graduate,Self-Employed,120949.90441728951,161663.01165998293,Education,596.7677369703937,1,126,29.96787663852169,2024-10-16,0
CUST00144,55.0,Male,South,Graduate,Salaried,56232.190358149266,250776.80312883586,Car,,5,189,32.93914159450353,2022-06-07,0
CUST00145,33.0,Male,South,Secondary,Salaried,112417.50977694041,124132.6833221722,Home,681.6825743634342,2,36,27.696947378209142,2021-08-23,1
CUST00146,42.0,Male,North,Post-Graduate,Self-Employed,53345.685924569916,158383.48931220098,Car,595.572014039781,5,199,21.149392636336568,2025-12-14,1
CUST00147,41.0,Female,East,Graduate,Salaried,191088.6697923893,181183.79074039822,Education,633.750988101887,11,61,25.21549332428678,2023-05-07,0
CUST00148,27.0,Female,East,Graduate,Salaried,1866186.6308446424,389951.42295080895,Business,608.5258410154934,4,58,10.5107936033062,2025-06-02,0
CUST00149,57.0,Female,North,Post-Graduate,Salaried,135836.02235712457,145975.03748091383,Other,685.2067139918141,1,120,4.013902731341422,2019-06-26,1
CUST00150,33.0,Male,South,Post-Graduate,,122638.54343820598,149771.42134701455,Business,511.1758042716551,11,148,33.199293405559146,2025-06-12,1
CUST00151,62.0,Female,West,Graduate,Salaried,283995.2736480199,281834.8426156681,Business,669.7626296178671,4,66,7.874365916152397,2024-04-03,1
CUST00152,52.0,Male,North,Post-Graduate,Salaried,98697.19409870608,1076834.0107963649,Other,788.5074551276646,4,88,10.3069235599335,2023-12-04,1
CUST00153,23.0,Female,North,Graduate,Self-Employed,,187646.39551703667,Car,748.8820886986958,8,60,42.176007017628585,2019-12-29,1
CUST00154,37.0,Male,South,Graduate,Self-Employed,129273.33888315198,269811.70430028153,Home,600.6677502421222,10,27,28.337773243815583,2021-01-24,1
CUST00155,22.0,Male,West,Graduate,Salaried,345113.3627502488,976295.5193952706,Business,689.5681420931987,7,21,35.02973896485699,2017-01-27,1
CUST00156,25.0,Female,North,Graduate,Salaried,53698.71248230037,1543669.2417006819,Home,674.0452378271924,11,170,7.012403282427777,2026-07-12,1
CUST00157,22.0,Female,East,Secondary,Salaried,79469.00417159381,389560.84885114094,Education,767.551365052971,11,162,24.4187118324172,2021-12-17,1
CUST00158,56.0,Male,West,Post-Graduate,Salaried,126736.78084277509,257985.59381517372,Business,449.19080621417856,6,190,43.48358208852604,2017-05-01,1
CUST00159,34.0,Female,North,Post-Graduate,Salaried,95574.09510323676,187674.908489918,Education,739.0293895148131,11,82,68.71629760349924,2018-02-08,0
CUST00160,63.0,Male,East,Primary,Self-Employed,54754.665122934806,145486.61148632,Car,628.5985861788903,2,26,26.38556932146614,2026-07-16,0
CUST00161,52.0,Male,South,Post-Graduate,Self-Employed,193515.85261173305,120311.6645406698,Business,590.5416848439666,9,112,14.404084611442153,2022-08-17,1
CUST00162,41.0,Male,East,Secondary,Self-Employed,397132.17279298056,99300.61450494043,Education,588.2558376964299,3,21,36.62406274206344,2023-08-05,0
CUST00163,28.0,Male,East,Secondary,Salaried,111043.67544859691,346213.8684468957,Education,546.0074947030976,5,19,16.79122872440416,2024-07-17,1
CUST00164,61.0,Male,East,Graduate,Self-Employed,57386.19373768981,314184.4531029675,Car,600.8705274020851,2,118,18.12963768737185,2025-11-18,0
CUST00165,54.0,Male,North,Secondary,Salaried,38972.97300357096,117177.21913258027,Home,563.6212756854884,10,52,50.62075234851777,2017-01-20,1
CUST00166,,,West,Post-Graduate,Unemployed,115241.5441726719,192691.0675285105,Home,664.4173736405855,8,164,9.06463585220678,2025-04-23,0
CUST00167,41.0,Female,South,Post-Graduate,Self-Employed,191439.3650725845,172071.1355807364,Business,697.1950105862704,7,117,17.31667807204571,2017-05-04,1
CUST00168,53.0,Male,North,Graduate,Salaried,131281.69642861464,294256.68118085124,Car,629.474127228931,5,172,24.40953112592272,2024-10-07,1
CUST00169,,Female,North,Primary,Self-Employed,98573.4954319667,197087.01272244065,Business,769.9778565004932,3,101,14.379920560771994,2024-08-13,1
CUST00170,55.0,Male,East,Secondary,Salaried,69316.41382928115,160908.41314263068,Home,606.126297163445,6,189,19.9901860459942,2018-09-17,1
CUST00171,35.0,Female,East,Graduate,Self-Employed,51261.83618920891,124139.0017799373,Car,625.2910062082726,10,190,17.369749980588665,2021-05-26,1
CUST00172,25.0,Male,North,Post-Graduate,,162893.32143316814,192997.77176530994,Other,612.1647485657261,2,95,41.88374415714198,2019-09-23,1
CUST00173,50.0,Male,East,Graduate,,170802.4616718417,136749.86246163186,Car,697.8895099131516,9,20,59.87785409229255,2019-11-28,1
CUST00174,36.0,Male,North,Secondary,Self-Employed,39048.59315996972,181741.83545888227,Car,705.965880228151,7,160,24.836081012497342,2023-11-10,0
CUST00175,38.0,Male,East,Graduate,Salaried,,156688.4096315827,Other,689.6293507176878,0,102,19.917319537334528,2019-10-06,1
CUST00176,40.0,Male,North,Graduate,Self-Employed,139308.02011752047,135097.77574766756,Education,640.0713076850025,2,115,18.14622442458785,2018-07-13,1
CUST00177,59.0,Female,East,Graduate,Salaried,228606.34527988377,100070.43961844145,Education,542.7501712737688,10,5,10.947551503206263,2019-06-17,1
CUST00178,30.0,Female,South,Secondary,Self-Employed,44122.42126356649,210469.83630500743,Education,624.4447535351594,4,45,35.67569616352524,2025-05-10,1
CUST00179,48.0,Female,West,Graduate,Self-Employed,43499.534103312304,166256.1866386063,Home,768.2511771120425,4,52,60.03292688989978,2022-06-16,1
CUST00180,36.0,,North,Graduate,Salaried,90275.23182595268,397802.300218004,Car,731.059030994799,9,163,28.5356410086136,2017-04-18,0
CUST00181,58.0,Male,South,Post-Graduate,Salaried,133475.15787014944,97132.13828364792,Other,673.5240317349376,1,168,36.407561708451745,2018-04-10,1
CUST00182,49.0,Male,North,Secondary,Salaried,290052.2893336483,222492.5943282416,Home,619.2438354305245,9,112,41.59696564948003,2023-04-03,1
CUST00183,25.0,Male,West,Graduate,Salaried,1507905.9244440352,156166.30342251275,Other,648.910521813238,7,165,33.3875207693723,2022-06-25,1
CUST00184,42.0,Male,West,Post-Graduate,Salaried,85339.37507204329,465040.2310263705,Home,619.5996608771428,4,165,45.2368737856345,2025-09-09,0
CUST00185,55.0,Male,South,Secondary,Self-Employed,,214161.55916254048,Home,,6,107,41.593776888189716,2020-10-11,1
CUST00186,40.0,Male,East,Post-Graduate,Unemployed,206488.5710055545,191442.78896327838,Home,582.8826401285268,6,132,6.810375805667366,2026-05-18,0
CUST00187,58.0,Male,West,Graduate,Self-Employed,,156365.0759354938,Other,,4,155,31.347934008013933,2023-08-14,1
CUST00188,25.0,,East,Primary,Self-Employed,262257.23993205634,114512.5236289384,Business,607.6637942672986,7,192,26.064428030101027,2023-09-07,1
CUST00189,58.0,Female,East,Secondary,Self-Employed,83230.50533214233,190174.31850054374,Home,755.6741464289594,8,34,12.676124422928215,2020-04-25,1
