customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag,city,state,account_type,kyc_verified,total_paid_on_time,avg_emi,avg_outstanding,avg_repo_rate,avg_inflation,avg_gdp_growth,income_was_missing,join_year,join_month,join_day,join_weekday,customer_tenure_days,education_encoded,gender_encoded,region_North,region_South,region_West,loan_purpose_Car,loan_purpose_Education,loan_purpose_Home,loan_purpose_Other,income_bin,repay_bin,good_credit,transaction_qbin,transaction_kmeans_bin,debt_to_income,avg_monthly_trans,spending_pct
CUST00011,0.01319545050786959,Male,North,Secondary,Salaried,-0.3086052191881452,-0.10613222865689195,Car,-0.058093023689234406,-0.7247645277148489,-1.6528686473749532,1.5130401825817419,2017-06-09,1,Jalna,Punjab,NRI,False,4,33487.926666666666,321127.3333333333,6.52,4.820833333333334,6.12,0,2017,6,9,4,3365,1.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Very Low,Medium,0,0,2,2.041554447323069,1.3333333333333333,52.62539810243907
CUST00012,1.2569558193239765,Male,West,Post-Graduate,Salaried,-0.4049933358110945,-0.6330904365116297,Other,0.6599887710580657,1.5898527264643094,0.17568452000297763,-0.6265494901582553,2019-01-12,0,Saharanpur,Punjab,Savings,False,3,32110.896666666667,294204.27166666667,6.52,4.820833333333334,6.12,0,2019,1,12,5,2783,3.0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Very Low,High,1,2,0,1.3589821822923214,18.333333333333332,17.89072406103639
CUST00013,0.17903016635001717,Male,West,Post-Graduate,Unemployed,-0.5292708449696998,-0.14093077120621766,Home,-1.824261949272046,1.3005255696919145,-0.3083442595970629,-0.3670399143419723,2023-08-13,0,Karaikudi,Goa,NRI,False,3,24507.885,241508.09,6.52,4.820833333333334,6.12,0,2023,8,13,6,1109,3.0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Very Low,High,0,1,3,3.2969014374590135,13.833333333333334,22.103672291926756
CUST00014,-1.1476475603871634,Male,North,Primary,Salaried,-0.017610303608663478,0.22483063897882916,Car,-1.676690415937334,1.0111984129195197,-0.0035853983674077584,3.01271892014886,2019-10-15,0,Patiala,Madhya Pradesh,Savings,True,4,19675.149999999998,287365.12666666665,6.52,4.820833333333334,6.12,0,2019,10,15,1,2507,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Very Low,High,0,2,3,1.715842793883144,16.666666666666668,76.97158596261303
CUST00015,-0.567226054939647,Female,North,Graduate,Salaried,-0.5956120061052295,-0.31296368008869896,Home,1.1310263338528492,-0.4354373709424541,-0.05736637387852337,-1.289539752038475,2024-01-03,0,Durgapur,West Bengal,NRI,False,4,37156.11833333333,265915.13166666665,6.52,4.820833333333334,6.12,0,2024,1,3,2,966,2.0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Very Low,Medium,1,1,3,3.4954650542709738,16.166666666666668,7.127561884457647
CUST00016,1.5886252510082715,Male,North,Post-Graduate,Salaried,0.0717550102064876,-0.23711532272137326,Other,-0.7167853073510575,0.721871256147125,-0.3979792187822556,-0.682311377837706,2023-02-03,0,Unnao,Gujarat,Current,False,4,29685.696666666667,233804.25166666668,6.52,4.820833333333334,6.12,0,2023,2,3,4,1300,3.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Very Low,High,0,1,3,1.0740016890315889,13.0,16.985470583158722
CUST00017,-1.313482276229311,Female,South,Secondary,Salaried,-0.540335432573342,-0.5161447223244819,Car,-0.14688171218180318,-1.5927459980320333,0.5342243567437484,-1.2089332243736912,2023-03-02,1,Vadodara,Odisha,Savings,True,5,31572.198333333334,237496.07833333334,6.52,4.820833333333334,6.12,0,2023,3,2,3,1273,1.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Very Low,None,0,2,0,2.2832116598873595,21.666666666666668,8.436149928098763
CUST00018,0.09611280842894337,Male,East,Graduate,Self-Employed,-0.48842644350413555,-0.26273025933401684,Education,1.6815836413659686,1.5898527264643094,-1.4377447453304908,0.1994610998497388,2021-06-11,0,Ahmednagar,Bihar,Current,True,3,20342.661666666667,331218.6716666667,6.52,4.820833333333334,6.12,0,2021,6,11,4,1902,2.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Very Low,High,1,0,2,2.620845158662299,3.3333333333333335,31.300402077444044
CUST00019,0.26194752427109097,Male,South,Post-Graduate,Salaried,-0.6184367721209407,-0.14840289210144536,Business,-0.09965196079258393,-0.4354373709424541,0.9106911853215577,-0.08400046656955275,2026-04-27,0,Jamnagar,Kerala,Savings,False,4,33710.00833333334,265086.14333333337,6.52,4.820833333333334,6.12,0,2026,4,27,0,121,3.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Very Low,Medium,0,3,1,4.477190748588644,25.166666666666668,26.698610790878984
CUST00020,0.7594516717975337,Female,South,Primary,Self-Employed,-0.4277992860711063,-0.5264694224691557,Home,-0.22769069190556257,-1.3034188412596384,1.089961103691943,-1.3622036542169025,2022-01-07,0,Barasat,Madhya Pradesh,Savings,False,4,33792.32666666667,265936.99333333335,6.52,4.820833333333334,6.12,0,2022,1,7,4,1692,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Very Low,Low,0,3,1,1.6676570803174628,26.833333333333332,5.947916558579895
CUST00021,0.5936169559553861,Male,East,Graduate,Unemployed,0.19027667054613967,-0.6924249520745503,Home,0.9311259407102068,0.721871256147125,0.354954438373363,0.6617039099221279,2016-12-14,1,Bihar Sharif,Arunachal Pradesh,Current,False,3,26029.771666666667,233916.82499999998,6.52,4.820833333333334,6.12,0,2016,12,14,2,3542,2.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Very Low,High,1,2,0,0.5353464958729902,20.0,38.80457614428043
CUST00022,0.09611280842894337,Male,North,Secondary,Salaried,-0.06322089122918476,0.6302873019867512,Home,-0.6343428216693081,-0.14611021417005934,1.4843549241067908,0.1737927790028749,2018-07-30,1,Ajmer,Tamil Nadu,Savings,False,2,24480.715,353262.78,6.52,4.820833333333334,6.12,0,2018,7,30,0,2949,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Very Low,Medium,0,3,1,2.3038945239155586,30.5,30.883695655102706
CUST00023,-0.9818128445450158,Female,South,Post-Graduate,Unemployed,0.1922406959358308,0.07820338070369848,Home,1.2525828054027863,-1.3034188412596384,-1.4018907616564138,-0.5230787241088368,2026-05-16,1,Pallavaram,Rajasthan,NRI,True,2,27573.368333333332,245611.765,6.52,4.820833333333334,6.12,0,2026,5,16,5,102,3.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Very Low,Low,1,0,2,1.2398635755327552,3.6666666666666665,19.57049629836366
CUST00024,-1.0647302024660896,Male,South,Post-Graduate,Salaried,-0.06009499803971928,-0.5146997578967147,Other,0.9096295954202973,-1.0140916844872436,1.6098438669660606,0.5630484740788118,2022-05-15,1,Hapur,Uttarakhand,Current,True,5,24574.52666666667,303827.17333333334,6.52,4.820833333333334,6.12,0,2022,5,15,6,1564,3.0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Very Low,Low,1,3,1,0.9165652809249206,31.666666666666668,37.20297727226787
CUST00025,-0.7330607707817945,Male,South,Post-Graduate,Salaried,-0.5592957149753923,-0.1586411603713029,Other,1.9098493331445463,0.4325440993747302,1.3588659812475212,-0.16362731178192338,2018-02-22,0,Ramgarh,Nagaland,NRI,False,3,28281.461666666666,247721.08,6.52,4.820833333333334,6.12,0,2018,2,22,3,3107,3.0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Very Low,High,1,3,1,3.56802022469819,29.333333333333332,25.40592717558794
CUST00026,0.8423690297186075,Male,West,Graduate,Salaried,-0.3810620654885093,-0.7980539949482705,Other,0.803540900873912,-1.5927459980320333,-1.4377447453304908,0.18306253329125588,2020-10-09,0,Firozabad,Chhattisgarh,NRI,False,5,35879.013333333336,189971.67333333334,6.52,4.820833333333334,6.12,0,2020,10,9,4,2147,2.0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Very Low,None,1,0,2,0.9599940876707923,3.3333333333333335,31.03418333867732
CUST00027,1.5886252510082715,Female,North,Post-Graduate,Self-Employed,-0.49458795346788165,-0.9035143388227552,Other,1.424436295992108,1.5898527264643094,1.7353328098253304,2.027120558665775,2020-07-28,1,Sambhal,Meghalaya,NRI,True,3,28139.046666666665,253728.54666666666,6.52,4.820833333333334,6.12,0,2020,7,28,1,2220,3.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Very Low,High,1,3,1,0.9797751357191831,32.833333333333336,60.971117154024014
CUST00028,-1.72806906583468,Female,East,Post-Graduate,Unemployed,0.4401314240502049,0.44556503298290734,Car,0.5728629669537305,-1.0140916844872436,0.6059323240919026,0.8875572187370001,2026-06-20,1,Pali,Odisha,NRI,True,4,38015.85,256287.66166666665,6.52,4.820833333333334,6.12,0,2026,6,20,5,67,3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Very Low,Low,0,2,0,1.2759832297942681,22.333333333333332,42.47113948715284
CUST00029,-1.72806906583468,Female,East,Secondary,Salaried,-0.5757113315224744,-0.15309951242280279,Other,-1.3960521548731282,1.0111984129195197,-0.7206650718489492,1.189958797774812,2020-08-28,0,Aligarh,Mizoram,Savings,True,4,31196.289999999997,269024.51166666666,6.52,4.820833333333334,6.12,0,2020,8,28,4,2189,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Very Low,High,0,1,3,3.791751261567134,10.0,47.3804080311688
CUST00030,1.2569558193239765,Female,North,Post-Graduate,Self-Employed,0.14001828064798452,-0.29846737505398085,Car,-2.7273489718285577,-1.5927459980320333,-0.3083442595970629,2.59578260830307,2018-03-14,1,Hapur,Chhattisgarh,Current,True,3,23093.778333333335,172461.445,6.52,4.820833333333334,6.12,0,2018,3,14,2,3087,3.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Very Low,None,0,1,3,0.9416931750056414,13.833333333333334,70.2029297700254
CUST00031,1.5057078930871979,Male,East,Primary,Salaried,0.13957145973215607,-0.1513541175863594,Education,-0.8436128623076313,1.3005255696919145,0.12190354449186201,-0.11374089008859219,2022-03-21,1,Udupi,Tamil Nadu,Savings,True,5,38921.88166666667,208870.55666666667,6.52,4.820833333333334,6.12,0,2022,3,21,0,1619,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Very Low,High,0,2,0,1.08388342102524,17.833333333333332,26.215796758848164
CUST00032,-0.31847398117642556,Male,North,Graduate,Salaried,0.8944745089165926,3.7482052321239725,Other,0.2986604175466467,1.3005255696919145,-1.2226208432860284,0.4056405903128985,2022-07-15,0,Raebareli,Tripura,Current,False,4,32258.07666666667,239500.37333333332,6.52,4.820833333333334,6.12,0,2022,7,15,4,1503,2.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,High,0,0,2,2.760164636621576,5.333333333333333,34.64757536328679
CUST00033,1.1740384614029027,Female,North,Secondary,Salaried,-0.4032702923023174,0.2700587816466416,Education,0.45056211727086515,0.4325440993747302,1.7353328098253304,0.8338218548722156,2025-04-05,1,Imphal,Sikkim,Current,False,5,16842.375,265433.19166666665,6.52,4.820833333333334,6.12,0,2025,4,5,5,508,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Very Low,High,0,3,1,3.255502513745204,32.833333333333336,41.59878514177539
CUST00034,0.7594516717975337,Male,West,Secondary,Unemployed,0.03676001385671536,3.472941846002224,Other,-0.06949542361770059,-1.5927459980320333,-1.6349416555379148,-0.1522931953039306,2022-12-27,1,Thiruvananthapuram,West Bengal,Savings,False,5,29165.37833333333,245650.00166666668,6.52,4.820833333333334,6.12,0,2022,12,27,1,1338,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Very Low,None,0,0,2,5.1004129439188635,1.5,25.589928270015644
CUST00035,-1.72806906583468,Male,West,Primary,Self-Employed,1.4415359881835266,-0.8439337211176166,Education,-0.060117650005054334,-0.4354373709424541,0.17568452000297763,0.19278555367533048,2019-01-14,0,Pune,Chhattisgarh,Current,True,5,35584.136666666665,250222.85666666666,6.52,4.820833333333334,6.12,0,2019,1,14,0,2781,0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Low,Medium,0,2,0,0.18101382406089328,18.333333333333332,31.19202946592388
CUST00036,1.1740384614029027,Male,West,Graduate,Salaried,-0.45700915985126056,0.4202744428050077,Business,-0.13959269120787896,-0.7247645277148489,-1.3301827943082596,-1.2265392955514032,2019-03-21,1,Malda,Arunachal Pradesh,NRI,False,5,21769.97333333333,118443.13500000001,6.52,4.820833333333334,6.12,0,2019,3,21,3,2715,2.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Very Low,Medium,0,0,2,4.046442959824404,4.333333333333333,8.150328234668917
CUST00037,-1.0647302024660896,Male,South,Secondary,Salaried,-0.6281855123960334,0.2600418451100903,Education,1.072697725102661,0.14321694260233545,0.37288143021040154,-0.8000670491619745,2025-09-09,1,Aizawl,Odisha,NRI,True,5,24126.50833333333,214057.92833333334,6.52,4.820833333333334,6.12,0,2025,9,9,1,351,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Very Low,High,1,2,0,6.353759154401499,20.166666666666668,15.073793352665726
CUST00038,0.01319545050786959,Other,North,Graduate,Salaried,-0.6717869655224183,0.05866794805920251,Car,-1.5122550891640854,-0.4354373709424541,0.0681225689807464,2.1249724943927393,2021-04-12,0,Sikar,Chhattisgarh,NRI,True,4,22765.66,254057.96166666667,6.52,4.820833333333334,6.12,0,2021,4,12,0,1962,2.0,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Very Low,Medium,0,2,0,6.790367798570394,17.333333333333332,62.559671789102126
CUST00039,0.5106995980343123,Male,East,Primary,Salaried,0.03697013538409957,-0.6092596679441787,Home,0.2734573809172747,0.4325440993747302,-1.4915257208416064,-1.3387413815926383,2016-09-27,1,Ambattur,Haryana,NRI,True,5,36264.67166666667,290463.9483333333,6.52,4.820833333333334,6.12,0,2016,9,27,1,3620,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Very Low,High,0,0,2,0.7160012701165783,2.8333333333333335,6.328809400911995
CUST00040,0.34486488219216477,Male,South,Secondary,Salaried,-0.6721438634824309,-0.07544092395087132,Education,-0.27041130942211705,1.5898527264643094,-0.5593221453156024,0.7111747962860723,2020-07-13,0,Bijapur,Bihar,Savings,False,3,33585.861666666664,280018.62666666665,6.52,4.820833333333334,6.12,0,2020,7,13,0,2235,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Very Low,High,0,1,3,6.11962894279594,11.5,39.607699815274
CUST00041,-0.9818128445450158,Male,North,Graduate,Self-Employed,-0.3928829710091218,-0.5787294649093766,Home,-0.9572919974555377,1.3005255696919145,0.8569102098104421,0.5130674841468211,2022-01-02,1,Panipat,Kerala,Current,False,5,29607.546666666665,306846.6966666667,6.52,4.820833333333334,6.12,0,2022,1,2,6,1697,2.0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Very Low,High,0,2,1,1.435777022437218,24.666666666666668,36.39157244279369
CUST00042,-1.5622343499925324,Other,South,Graduate,Salaried,-0.09985854766236654,0.11851400787465574,Business,1.2246133630072564,-1.5927459980320333,-0.18285531673779315,1.6460132724048995,2026-06-14,1,Moradabad,Haryana,NRI,True,2,25818.266666666666,308822.2316666667,6.52,4.820833333333334,6.12,0,2026,6,14,6,73,2.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Very Low,None,1,1,3,1.766491257268632,15.0,54.78411899651155
CUST00043,-1.6451517079136062,Male,North,Secondary,Salaried,-0.20677412279210833,0.36039062971526137,Business,-1.037665748768611,-0.4354373709424541,-0.5772491371526409,2.8607893396802697,2021-03-06,1,Kamarhati,Kerala,NRI,False,5,24464.766666666666,227270.00166666668,6.52,4.820833333333334,6.12,0,2021,3,6,5,1999,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Very Low,Medium,0,1,3,2.411415855054685,11.333333333333334,74.50512030237014
CUST00044,1.2569558193239765,Male,West,Graduate,Salaried,-0.105262154880902,-0.5131047493799163,Car,-0.1537611620886786,-0.7247645277148489,-1.1509128759378742,0.17091601356782005,2020-10-03,0,Satara,Jharkhand,Savings,True,4,33068.63333333333,132950.205,6.52,4.820833333333334,6.12,0,2020,10,3,5,2153,2.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Very Low,Medium,0,0,2,0.9733503927183266,6.0,30.836993471523627
CUST00045,0.7594516717975337,Female,South,Post-Graduate,Self-Employed,-0.19203320086215878,0.48709985837543157,Car,2.0441148221460472,-1.0140916844872436,-0.29041726776002436,-1.3190160323492481,2019-03-20,1,Raipur,Odisha,Savings,False,1,25248.375,101466.08333333333,6.52,4.820833333333334,6.12,0,2019,3,20,2,2716,3.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Very Low,Low,1,1,3,2.5409100440954355,14.0,6.649036024292807
CUST00046,0.0,Female,East,Graduate,Self-Employed,0.400371072467313,-0.2156903604056249,Education,0.8703646623191277,-0.4354373709424541,-0.8103000310341419,-0.7211422215036363,2026-02-20,1,Tiruppur,Meghalaya,Current,False,4,23796.538333333334,259809.99833333332,6.52,4.820833333333334,6.12,0,2026,2,20,4,187,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Very Low,Medium,1,1,2,0.8106669369538416,9.166666666666666,16.35508022622571
CUST00047,0.8423690297186075,Male,South,Secondary,Salaried,-0.5305775500448516,0.004289089932382742,Other,-0.48422782137073717,1.0111984129195197,-0.3083442595970629,-0.8170743487288096,2019-08-29,1,Dewas,Jharkhand,Savings,True,4,30620.145,256153.19000000003,6.52,4.820833333333334,6.12,0,2019,8,29,3,2554,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Very Low,High,0,1,3,3.7333594950143145,13.833333333333334,14.79769227856492
CUST00048,1.754459966850419,Male,East,Primary,Self-Employed,-0.4711566401928643,-0.7559184613527895,Business,-0.3976991832974466,-1.0140916844872436,1.6098438669660606,0.32606813481404023,2022-06-05,1,Mira-Bhayandar,Kerala,NRI,False,4,26770.429999999997,265688.52999999997,6.52,4.820833333333334,6.12,0,2022,6,5,6,1543,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Very Low,Low,0,3,1,1.2857795589679057,31.666666666666668,33.355774725229246
CUST00049,-0.8159781287028683,Male,East,Post-Graduate,Salaried,-0.49292484598295355,-0.15160304959294088,Home,-1.2932163800905507,0.4325440993747302,1.3947199649215982,-1.3502576644134223,2019-04-14,0,Sambalpur,Uttarakhand,Savings,False,4,26622.188333333335,244847.83166666667,6.52,4.820833333333334,6.12,0,2019,4,14,6,2691,3.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Very Low,High,0,3,1,2.9437574679100043,29.666666666666668,6.141850969094424
CUST00050,-1.5622343499925324,Male,North,Primary,Salaried,0.10257886268688224,-0.5618757971560436,Other,1.3549498098155033,-1.0140916844872436,1.5022819159438294,0.8710633512687633,2023-07-06,1,Vijayanagaram,Karnataka,Current,False,5,32591.053333333333,264549.6066666667,6.52,4.820833333333334,6.12,0,2023,7,6,3,1147,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Very Low,Low,1,3,1,0.7146849686917794,30.666666666666668,42.20337360779261
CUST00051,0.34486488219216477,Male,West,Post-Graduate,Salaried,0.5122876876729574,-0.006700188600350399,Business,1.0518868688929293,-1.5927459980320333,0.17568452000297763,-0.9603784274798027,2020-04-26,1,Bokaro,West Bengal,Savings,False,4,38676.455,173785.03833333333,6.52,4.820833333333334,6.12,1,2020,4,26,6,2313,3.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Very Low,None,1,2,0,1.9888002983270041,18.333333333333332,12.471255332435517
CUST00052,-0.6501434128607207,Male,West,Graduate,Salaried,-0.0934752167970211,0.8089766221668248,Education,0.7116802234304788,0.721871256147125,-0.5951761289896795,-0.9182183762355843,2025-07-04,1,Imphal,Tripura,Savings,True,2,36087.51,193449.89666666664,6.52,4.820833333333334,6.12,0,2025,7,4,4,418,2.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Very Low,High,1,1,3,2.619120084731343,11.166666666666666,13.155692940353768
CUST00053,-0.8159781287028683,Male,West,Post-Graduate,Salaried,0.3301958601667772,-0.11891726885621044,Business,0.8271575462753255,0.721871256147125,-0.3621252351081785,0.5470953874147574,2024-08-25,0,North Dumdum,Punjab,NRI,False,4,39007.265,216859.22999999998,6.52,4.820833333333334,6.12,0,2024,8,25,6,731,3.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Very Low,High,1,1,3,0.9367479072300657,13.333333333333334,36.9439905738882
CUST00054,0.0,Male,West,Graduate,Unemployed,-0.5724796712782705,-0.6379563605331025,Car,-0.8189919513688156,-0.14611021417005934,-0.6489571045007951,-0.9413843517333581,2019-01-16,1,Bhagalpur,Manipur,NRI,False,3,28473.76166666667,256898.17166666666,6.52,4.820833333333334,6.12,0,2019,1,16,2,2779,2.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Very Low,Medium,0,1,3,2.1305422573227117,10.666666666666666,12.779610265241663
CUST00055,-0.48430869701857315,Female,East,Post-Graduate,Self-Employed,0.7314579959797451,0.0934194605284128,Home,-1.6291907440789732,1.0111984129195197,-0.5593221453156024,0.9578641003242765,2018-09-06,1,Thane,Goa,NRI,False,4,31137.375,267385.645,6.52,4.820833333333334,6.12,0,2018,9,6,3,2911,3.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Very Low,High,0,1,3,0.8293565279126884,11.5,43.61252030699675
CUST00056,-1.1476475603871634,Other,West,Secondary,Self-Employed,0.5996262302923094,-0.05210249101798319,Home,0.5796182060153846,-1.5927459980320333,0.37288143021040154,-1.1487688996537575,2019-07-17,1,Gwalior,Himachal Pradesh,Current,True,5,32498.228333333333,148684.09666666668,6.52,4.820833333333334,6.12,0,2019,7,17,2,2597,1.0,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Very Low,None,0,2,0,0.8081134178494329,20.166666666666668,9.412873752621524
